Species,Country,Year,Type,Area,Location,Activity,Sex,Age,Injury,Fatal,Species_original
, PHILIPPINES,1944,Sea Disaster,Bernardino Strait near Gulf of Leyte,,USS Hoel DD 533 sunk on 10/24/1944 in the Battle off Samar. 2 crewmen were swimmng alongside a floater net &,M,,"FATAL, both were killed by sharks",Y,
,SOUTH AFRICA,1995,Invalid,,,Diving,M,33,Reportedly lost lower right leg as result of shark bite,,Shark involvement not confirmed
, TONGA,2004,Invalid,Nuku'alofa,30 nautical miles offshore,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,,"He was was bitten on the arm by small sharks & died, but it was not clear if he died as result of the bite or death resulted from drowing",Y,Questionable Incident
, TONGA,2004,Unprovoked,Nuku'alofa,30 nautical miles offshore,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,,"Bitten on feet, legs, back & abdomen but survived.  Survivors rescued after  7.5 hours in the water",Y,small sharks
,ADMIRALTY ISLANDS,1962,Unprovoked,Manus Island,Sisi  (west coast of island),,M,26,Facial lacerations,N,
,AFRICA,1846,Unprovoked,,,Jumped into river,M,,FATAL,Y,
,ALGERIA,1844,Unprovoked,,Cape Matifou,Swimming,M,,FATAL,Y,
,JAMAICA,1961,Unprovoked,,,,M,,FATAL,Y,
,AMERICAN SAMOA,1954,Unprovoked,Tutuila Island,Near tuna cannery in Pago Pago Harbor,Dived overboard & was swimming near stern of trawler,M,27,FATAL,Y,
,AUSTRALIA,1888,Boating,Victoria,Port Melbourne,Fishing,,,"No injury to occupants, shark holed boat",N,
,AUSTRALIA,1936,Unprovoked,Queensland,Arlington Reef near Cairns,Diving,M,,Arm severed,N,
,ANDAMAN ISLANDS,1863,Unprovoked,,,Fell overboard,M,,FATAL,Y,
,AUSTRALIA,1949,Invalid,New South Wales,Off North Bondi,Surfing,M,32,"No injury, chased by 3 sharks",,Invalid
,ANTIGUA,2011,Invalid,St John's,Fort James Beach,Swimming,M,,Bitten on right hand & wrist,,Shark involvement not confirmed
,ANTIGUA,1808,Sea Disaster,,Falmouth Harbour,,,,Probable drowning & scavenging,,
,AUSTRALIA,1920,Unprovoked,Western Australia,Cottesloe Beach,Standing,M,,"Minor injuries to leg, hand & fingers",N,"15* to 24"" dog shark"
,ARUBA,2015,Unprovoked,,Boat capsized,Sea disaster,M,58,FATAL,Y,
,ASIA?,0,Unprovoked,,,Swimming,M,,Foot severed,N,
,ATLANTIC OCEAN,1892,Unprovoked,,,Fell overboard,M,15,FATAL,Y,
,AUSTRALIA,1959,Invalid,South Australia,Laura Bay,Spearfishing,M,,"No injury, shark made threat display, one diver shot shark in jaw, then they killed shark with knives  ",,Invalid
,ATLANTIC OCEAN,2006,Boating,800 miles from land,,Competing in the Woodvale Atlantic Rowing Race,F,"28, 23 & 30","No injury to occupants; a shark, accidentally caught in a line, threatened to rip out the transom",N,
,ATLANTIC OCEAN,1916,Unprovoked,,,Jumped overboard from Norwegian steamship Venator,M,,Presumed FATAL,Y,
,ATLANTIC OCEAN,1852,Invalid,,,,F,1,Death preceded shark involvement,,Invalid
,ATLANTIC OCEAN,1942,Sea Disaster,,360 miles north of Ascension Island,"The Pacquebot Laconia, enroute to Liverpool with 600 Italian prisoners onboard, was torpedoed by the German submarine  U-156 and only 2 rafts were launched before the ship went down. Unable to board an overcrowded raft, he was swimming.",M,,"Calf lacerated. He was rescued by German submarine, which sunk. Rescued by Italian submarine, which sunk. Managed to reach Dakar",N,
,ATLANTIC OCEAN,2006,Boating,300 miles from Antigua,,Competing in the Woodvale Atlantic Rowing Race,M,46 & 34,No injury to occupants; shark rammed boat repeatedly,N,12' shark
,ATLANTIC OCEAN,1963,Invalid,Between Southampton & Canary Islands,,"Greek steamship Lakonia caught fire, 98 of her 646 passengers, and 30 of her crew of 376 perished",F,,"One woman reported to have suffered fish bites, but cause of her death was exposure & drowning""",,Invalid
,ATLANTIC OCEAN,2005,Boating,600 nm west of the Canary Islands,,Competing in the Woodvale Atlantic Rowing Race,,,"No injury to occupants, shark rammed boat for 15 minutes",N,3 m shark
,ATLANTIC OCEAN,1961,Sea Disaster,9.35N 79.35W,"East of La Grande Island, North of Panama Canal",Pacific Seafarer of US Navy,,,"3 were lost, 3 survived",Y,
,ATLANTIC OCEAN,1942,Sea Disaster,04.05N-13.23W,,The 6015-ton British ship Empire Avocet was torpedoed by the German submarine U-125. ,,,Survivors on life rafts were harassed by sharks,N,
,AUSTRALIA,1931,Unprovoked,Queensland,"Ross River, Townsville",Fishing with a cast net,M,19,"FATAL, left thigh severely bitten ",Y,
,ATLANTIC OCEAN,1941,Sea Disaster,,,Adrift on raft after their ship was sunk by an Axis raider ,M,,FATAL,Y,
,ATLANTIC OCEAN,1885,Unprovoked,,,Fell or jumped overboard from the liner Rhynland,M,,FATAL,Y,
,ATLANTIC OCEAN,1890,Unprovoked,,,Thrown overboard,M,,FATAL,Y,
,ATLANTIC OCEAN,1942,Sea Disaster,,,The SS Potlach was torpedoed & sunk by the U-153 on 27-Jun-1942. ,M,32,FATAL Arm bitten,Y,
,ATLANTIC OCEAN,1882,Unprovoked,,,Fell overboard from the Selim,M,,FATAL,Y,
,AUSTRALIA,1931,Unprovoked,Queensland,"Yeppoon, near Ross Creek",Swimming,M,18,Severe bump & few superficial wounds ,N,1.5 m [5'] shark
,AUSTRALIA,2006,Unprovoked,Victoria,"Winki Pop, Bells Beach",Surfing,M,25,Left leg bitten,N,2.5 to 3 m shark
,AUSTRALIA,1886,Invalid,New South Wales,"Dobroyd Head, Watson Bay, Sydney",He drowned when boat capsized,M,,His body was found in a tiger shark; next day other human remains found in sharks at Berry's Bay ,,Shark involvement prior to death unconfirmed
,AUSTRALIA,1935,Unprovoked,Torres Strait,On edge of reef near Warrior Island,Pearl diving,M,,3 gashes on hand & wrist,N,1.8 m [6'] shark
,AUSTRALIA,1993,Unprovoked,Queensland,"Line Reef, northeast of Hamilton Island, Whitsundays",Spearfishing,M,21,"6"" laceration to left forearm",N,1.5 m shark
,AUSTRALIA,2016,Unprovoked,New South Wales,North Cronulla Beach,Surfing,M,41,"No injury, board dented",N,
,AUSTRALIA,1929,Unprovoked,Torres Strait,Thursday Island,Diving,M,,Recovered at Thursday Island Hospital,N,
,AUSTRALIA,1965,Boating,South Australia,Cape Jervis,Fishing,,,No injury to occupants. Shark  gouged planks of boat,N,15' shark
,AUSTRALIA,1955,Boating,New South Wales,Parramatta River,Rowing,,,"No injury to occupants; shark grabbed oar, vaulted over scull",N,
,AUSTRALIA,1969,Unprovoked,Queensland,Broomfield Reef,,,,Survived,N,
,AUSTRALIA,1885,Unprovoked,Western Australia,Bunbury,Bathing,M,,Laceration to calf,N,
,AUSTRALIA,1918,Unprovoked,Queensland,Near Cairns,Diving,M,,Survived,N,
,JAPAN,1955,Unprovoked,Izo Islands,"Mikura-jima Island, 150 miles south of Tokyo",Fishing,M,,FATAL,Y,
,JAPAN,1945,Sea Disaster,Ryukyu,,American minesweeper USS YMS-350 lost in a typhoon - swimming to shore,M,,FATAL,Y,
,AUSTRALIA,2016,Unprovoked,Victoria,Thirteenth Beach,Surfing,M,,Struck by fin on chest & leg,N,
,AUSTRALIA,1910,Unprovoked,Western Australia,Bunbury,Surf bathing,M,,"Shoulder, back & leg bitten",N,5.5' to 6' shark
,AUSTRALIA,1852,Invalid,New South Wales,"Clark's Island, Sydney Harbor",Swimming,M,,Shark involvement prior to death was not confirmed,,Shark involvement prior to death unconfirmed
,AUSTRALIA,2007,Unprovoked,Queensland,South Stradbroke Island,Swimming,M,teen,Lacerations to hand,N,"""a small shark"""
,JAPAN,1992,Unprovoked,Ehime Prefecture,Matsuyama,,M,,Survived,N,
,AUSTRALIA,1958,Invalid,Queensland,Green Island,Swimming,F,,"Injuries caused by coral, not the  shark",,Invalid
,AUSTRALIA,2017,Unprovoked,Westerm Australia,Sam's Creek area,Swimming,M,,Minor injuries,N,
,AUSTRALIA,2012,Unprovoked,South Australia,Streaky Bay,Surfing,M,48,Lacerations to torso & arm,N,White shark or bronze whaler
,AUSTRALIA,2005,Invalid,,,,,,"A hoax - No shark was involved and Wells' ""daughter"" was his business partner Eileen Purchase who injured her finger on his boat",,No shark involvement
,AUSTRALIA,1909,Provoked,New South Wales,Bondi,Fishing,M,,3 fingers bitten by hooked shark PROVOKED INCIDENT,N,7' shark
,AUSTRALIA,1896,Unprovoked,Western Australia,Esperance,Boat swamped,M,,FATAL,Y,
,AUSTRALIA,1947,Unprovoked,New South Wales,"Maria River, Port Macquarie, 12 miles from river mouth",Swimming,M,12,"FATAL, leg severed at knee  ",Y,
,AUSTRALIA,1916,Unprovoked,New South Wales,"Seven Shillings Beach, Middle Harbor, Sydney (Estuary)",Taking wife to beach & about 1 m from the shore,M,41,"FATAL, right arm severed, chest punctured ",Y,
,AUSTRALIA,2014,Unprovoked,New South Wales,Moonee Beach,Surfing,M,,Minor injury to lower leg and foot,N,
,AUSTRALIA,1966,Boating,Northern Territory,Darwin Harbour,,M,,"No injury to occupant. Shark struck vessel, jamming centreboard",N,
,AUSTRALIA,1980,Unprovoked,Western Australia,Lancelin,Swimming,M,,"Right shoulder bitten, puncture wounds on chest & lacerations on his back",N,
,AUSTRALIA,1998,Unprovoked,South Australia,Middleton Beach,Standing,F,21,2 puncture wounds in left leg,N,
,AUSTRALIA,1955,Boating,South Australia,Port Augusta,Fishing,,,Whelan's head was injured when he fell to the deck as shark rammed boat,N,Tooth fragments recovered from hull
,AUSTRALIA,2018,Unprovoked,Western Australia,Gearys Beach,Surfing,M,,"No injury, knocked off board by shark",N,
,AUSTRALIA,1995,Unprovoked,Western Australia,"Bernier Island, Shark Bay",,,,No details,UNKNOWN,
,AUSTRALIA,2007,Unprovoked,New South Wales,Jimmy's Beach,Surfing,M,31,Severe lacerations to right buttock,N,2 m shark
,AUSTRALIA,1987,Invalid,New South Wales,Shoalhaven,,F,16 to 18,"Remains recovered from 4 m, 420-kg, caught 13-Dec-1987k",,Shark involvement prior to death was not confirmed
,AUSTRALIA,1893,Unprovoked,Queensland,Torres Strait,"Boat capsized, swimming ashore",M,,Leg bitten,N,
,AUSTRALIA,2016,Unprovoked,Queensland,Miall Island,Spearfishing,M,31,Lacerations to arms & leg,N,3 m shark
,AUSTRALIA,1960,Boating,Western Australia,Frenchman Bay,,,,"No injury to occupants, toothmarks on bottom & side of dinghy",N,3.7 m [12'] shark
,AUSTRALIA,1953,Boating,Tasmania,Wynyard,Fishing,,MAKE LINE GREEN,"No injury to occupant, shark charged boat",N,10' to 12' shark
,AUSTRALIA,1979,Unprovoked,New South Wales,Byron Bay,Scuba diving,M,18,Leg bitten,N,"""a small shark"""
,AUSTRALIA,1934,Unprovoked,New South Wales,"Dee Why, north of Queenscliff ",Swimming in hip-deep water,M,17,"FATAL, leg & buttocks removed ",Y,4 m [13'] shark seen in vicinity
,AUSTRALIA,1938,Invalid,New South Wales,"Lady Martinﾒs Beach, Sydney Harbor",Diving off jetty,M,24,Superficial lacerations on feet & toes,,Questionable incident
,AUSTRALIA,2017,Unprovoked,Western Australia,"Falcon Bay Beach, Mandurah",Surfing,M,,"No injury, shark struck board",N,
,AUSTRALIA,1953,Provoked,South Australia,Largs Bay,Fishing,M,61,Finger bitten by hooked shark PROVOKED INCIDENT,N,
,AUSTRALIA,2018,Unprovoked,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,37,Lacerations to legs,N,
,AUSTRALIA,1952,Unprovoked,New South Wales,Evans Head,Surfing,M,,Bitten on left calf and ankle,N,8' shark
,AUSTRALIA,1946,Unprovoked,South Australia,Glenelg,Swimming near jetty with 2' piece of wood,M,23,"Forearm & fingers lacerated, teethmarks on wood",N,
,AUSTRALIA,1998,Unprovoked,South Australia,Middleton Beach,Surfing,M,,20 punctures in right foot,N,
,AUSTRALIA,2016,Unprovoked,Western Australia,Injidup ,Surfing,M,,"No inury, board broken in half by shark",N,
,AUSTRALIA,1990,Unprovoked,Queensland,Fingal Beach,Surfing,M,,"No injury, board broken in two",N,3 m shark
,AUSTRALIA,1975,Unprovoked,Queensland,Mornington Island,,F,,Hand bitten,N,
,AUSTRALIA,2010,Unprovoked,Queensland,Archie's Beach,Surfing,M,,"No injury, surfboard bitten",N,
,AUSTRALIA,1951,Invalid,New South Wales,Hawkesbury River,,M,,Body found after a week in the water apparently bitten by shark/s,,Shark involvement prior to death was not confirmed
,AUSTRALIA,1994,Invalid,Queensland,"Hinchinbrook Channel, Queensland",Murder victim,M,44,Shark scavenged on his corpse,,Invalid
,AUSTRALIA,1965,Provoked,Queensland,Near Brisbane,Fishing from 34' boat when pulled overboard by hooked shark,M,43,FATAL PROVOKED INCIDENT,Y,4.6 m [15'] shark
,AUSTRALIA,1866,Invalid,Western Australia,Off De Grey river,Fell overboard,M,,Thought to have been taken by a shark. Body was not recovered,,Shark involvement prior to death unconfirmed
,AUSTRALIA,2015,Unprovoked,Western Australia,Pyramids Beach,Surfing,M,18,Foot injured,N,
,AUSTRALIA,1923,Unprovoked,Queensland,"Ross River, Townsville",Diving,M,,Lacerations to right thigh and knee,N,
,AUSTRALIA,2005,Unprovoked,New South Wales,Crookhaven,,,,Shark-bitten surfboard found adrift,N,
,AUSTRALIA,1933,Provoked,Queensland,Off Stradbroke Island,Fishing,M,,Laceration to lower leg by netted shark PROVOKED INCIDENT,N,7' to 8' shark
,AUSTRALIA,1920,Unprovoked,Torres Strait,200 miles from MacKay,Diving for trochus shell,M,,Severe lacerations to right shoulder & arm,N,
,AUSTRALIA,1923,Invalid,Western Australia,Bunbury,,M,,Death may have been due to drowning,,Shark involvement prior to death was not confirmed
