Country,Count,country_lon,country_lat
ADMIRALTY ISLANDS,1,-134.4895,57.6853
AFRICA,2,34.508523,-8.783195
ALGERIA,1,1.6596,28.0339
AMERICAN SAMOA,3,-170.132217,-14.270972
ANDAMAN ISLANDS,2,92.6586,11.7401
ANGOLA,1,17.8739,-11.2027
ANTIGUA,2,-61.8175207,17.0746557
ARGENTINA,1,-63.616672,-38.416097
ARUBA,1,-69.968338,12.52111
ASIA,1,100.6197,34.0479
ATLANTIC OCEAN,39,-28.6731465,-14.5994134
AUSTRALIA,1334,133.775136,-25.274398
AZORES,5,-25.6755944,37.7412488
BAHAMAS,109,-77.39628,25.03428
BAHREIN,1,50.5577,26.0667
BANGLADESH,1,90.356331,23.684994
BARBADOS,6,-59.5432,13.1939
BAY OF BENGAL,1,87.5396,13.5317
BELIZE,3,-88.49765,17.189877
BERMUDA,16,-64.7505,32.3078
BRAZIL,111,-51.92528,-14.235004
BRITISH ISLES,1,-4,54
BRITISH NEW GUINEA,1,141.3470159,-5.0122202
BRITISH VIRGIN ISLANDS,1,-64.639968,18.420695
BRITISH WEST INDIES,1,-68,18
BURMA,4,95.955974,21.916221
CANADA,12,-106.346771,56.130366
CAPE VERDE,3,-23.0418,16.5388
CARIBBEAN SEA,8,-74.9676365,14.5401107
CAYMAN ISLANDS,3,-81.2546,19.3133
CEYLON,4,80.771797,7.873054
CHILE,8,-71.542969,-35.675147
CHINA,8,104.195397,35.86166
COLUMBIA,9,-95.712891,37.09024
COMOROS,1,43.3333,-11.6455
COOK ISLANDS,1,-159.777671,-21.236736
COSTA RICA,17,-83.753428,9.748917
CRETE,2,24.8092691,35.240117
CROATIA,34,15.2000001,45.1
CUBA,46,-77.781167,21.521757
CURACAO,1,-68.99002,12.16957
CYPRUS,1,33.429859,35.126413
DIEGO GARCIA,1,72.4228556,-7.3195005
DJIBOUTI,1,42.5903,11.8251
DOMINICAN REPUBLIC,7,-70.162651,18.735693
ECUADOR,9,-78.183406,-1.831239
EGYPT,41,30.802498,26.820553
EL SALVADOR,4,-88.89653,13.794185
ENGLAND,23,-1.1743197,52.3555177
FALKLAND ISLANDS,1,-59.5236,-51.7963
FIJI,65,178.065032,-17.713371
FRANCE,13,2.213749,46.227638
FRENCH POLYNESIA,25,-149.406843,-17.679742
GABON,1,11.6094,-0.8037
GEORGIA,1,43.3569,42.3154
GHANA,1,-1.023194,7.946527
GREECE,25,21.824312,39.074208
GREENLAND,1,-42.6043,71.7069
GRENADA,4,-61.679,12.1165
GUAM,4,144.793731,13.444304
GUATEMALA,1,-90.2308,15.7835
GUINEA,4,-9.6966,9.9456
GULF OF ADEN,1,47.9224,12.5331
GUYANA,3,-58.93018,4.860416
HAITI,3,-72.285215,18.971187
HONDURAS,4,-86.241905,15.199999
HONG KONG,24,114.109497,22.396428
ICELAND,2,-19.020835,64.963051
INDIA,41,78.96288,20.593684
INDIAN OCEAN,8,81.826172,-33.137551
INDONESIA,23,113.921327,-0.789275
IRAN,34,53.688,32.4279
IRAQ,12,43.679291,33.223191
IRELAND,1,-7.6920536,53.1423672
ISRAEL,7,34.851612,31.046051
ITALY,72,12.56738,41.87194
JAMAICA,27,-77.297508,18.109581
JAPAN,34,138.252924,36.204824
JAVA,1,-95.8895748,36.1908101
JOHNSTON ISLAND,2,-169.5336477,16.7295035
KENYA,10,37.906193,-0.023559
KIRIBATI,6,-168.734039,-3.370417
KOREA,1,127.9784585,37.6639976
KUWAIT,1,47.481766,29.31166
LEBANON,3,35.862285,33.854721
LIBERIA,3,-9.429499,6.428055
LIBYA,6,17.228331,26.3351
MADAGASCAR,8,46.869107,-18.766947
MALAYSIA,5,101.975766,4.210484
MALDIVES,2,73.22068,3.202778
MALTA,5,14.375416,35.937496
MARSHALL ISLANDS,13,171.184478,7.131474
MARTINIQUE,3,-61.024174,14.641528
MAURITIUS,10,57.552152,-20.348404
MAYOTTE,1,45.166244,-12.8275
MEDITERRANEAN SEA,2,18.0480105,34.5531284
MEXICO,89,-102.552784,23.634501
MICRONESIA,4,150.5508,7.4256
MONACO,1,7.4246158,43.7384176
MONTENEGRO,3,19.37439,42.708678
MOZAMBIQUE,45,35.529562,-18.665695
NAMIBIA,2,18.49041,-22.95764
NETHERLANDS ANTILLES,1,-68.2623822,12.2018902
NEVIS,1,-62.5796026,17.1553558
NEW BRITAIN,6,-72.7795,41.6612
NEW CALEDONIA,53,165.618042,-20.904305
NEW GUINEA,10,141.3470159,-5.0122202
NEW ZEALAND,128,174.885971,-40.900557
NICARAGUA,7,-85.207229,12.865416
NIGERIA,4,8.675277,9.081999
NORTH SEA,1,3.5156,56.511
NORTHERN ARABIAN SEA,1,64.33717,12.2501506
NORTHERN MARIANA ISLANDS,1,145.6739,15.0979
NORWAY,2,8.468946,60.472024
OCEAN,1,-82.7472526,27.8711116
OKINAWA,6,127.945404,26.501301
PACIFIC OCEAN,33,-124.508523,-8.783195
PALAU,5,134.5825,7.515
PALESTINIAN TERRITORIES,1,35.233154,31.952162
PANAMA,32,-80.782127,8.537981
PAPUA NEW GUINEA,134,143.95555,-6.314993
PARAGUAY,1,-58.443832,-23.442503
PERU,1,-75.015152,-9.189967
PHILIPPINES,62,121.774017,12.879721
PORTUGAL,3,-8.224454,39.399872
PUERTO RICO,1,-66.590149,18.220833
RED SEA,3,38.512573,20.280232
REUNION,61,55.536384,-21.115141
ROATAN,1,-86.5299673,16.3297608
RUSSIA,4,105.318756,61.52401
SAMOA,8,-172.104629,-13.759029
SAN DOMINGO,1,-69.9312117,18.4860575
SAUDI ARABIA,5,45.079162,23.885942
SCOTLAND,8,-4.2026458,56.4906712
SENEGAL,11,-14.452362,14.497401
SEYCHELLES,8,55.491977,-4.679574
SIERRA LEONE,9,-11.779889,8.460555
SINGAPORE,6,103.819836,1.352083
SLOVENIA,1,14.9955,46.1512
SOLOMON ISLANDS,31,160.156194,-9.64571
SOMALIA,6,46.199616,5.152149
SOUTH AFRICA,579,22.937506,-30.559482
SOUTH KOREA,8,127.766922,35.907757
SPAIN,44,-3.74922,40.463667
SRI LANKA,14,80.771797,7.873054
ST. HELENA,2,-5.7,-15.95
ST. MAARTIN,2,-63.05483,18.04248
SUDAN,5,30.217636,12.862807
SWEDEN,1,18.643501,60.128161
SYRIA,1,38.9968,34.8021
TAIWAN,9,120.960515,23.69781
TANZANIA,8,34.888822,-6.369028
TASMAN SEA,1,160.4313,-40.8581
THAILAND,8,100.992541,15.870032
THE BALKANS,1,21.0937,41.8101
TOBAGO,2,-60.6988909,11.2336911
TONGA,18,-175.198242,-21.178986
TRINIDAD & TOBAGO,3,-61.2335592,10.3757217
TUNISIA,3,9.537499,33.886917
TURKEY,12,35.243322,38.963745
TURKS & CAICOS,5,-95.712891,37.09024
TUVALU,1,177.64933,-7.109535
UNITED ARAB EMIRATES,4,53.847818,23.424076
UNITED KINGDOM,11,-3.435973,55.378051
URUGUAY,4,-55.765835,-32.522779
USA,2226,-95.712891,37.09024
VANUATU,14,166.959158,-15.376706
VENEZUELA,11,-66.58973,6.42375
VIETNAM,15,108.277199,14.058324
WEST INDIES,2,-66.4108475,18.2345027
WESTERN SAMOA,1,-172.104629,-13.759029
YEMEN,9,48.516388,15.552727
